,都道府県,variable,value
574,埼玉県,1987,76.09131550631075
575,千葉県,1987,75.0452384362048
576,東京都,1987,85.44797374800358
577,神奈川県,1987,74.56700618509183
578,新潟県,1987,81.99904625845008
579,富山県,1987,77.14698581766906
580,石川県,1987,77.44161844898639
581,福井県,1987,81.90509419838831
582,山梨県,1987,79.80371806020334
583,長野県,1987,77.16073335118993
584,岐阜県,1987,80.06458107624066
585,静岡県,1987,76.48398404606105
586,愛知県,1987,80.45491358990076
587,三重県,1987,77.95426676580205
588,滋賀県,1987,73.77178404576911
589,京都府,1987,83.25093036691618
590,大阪府,1987,74.54513635248594
591,兵庫県,1987,78.32295205840033
592,奈良県,1987,75.61924889408121
593,和歌山県,1987,82.29287477934085
594,鳥取県,1987,84.1261808905647
595,島根県,1987,82.84472480039766
596,岡山県,1987,84.16250629263406
597,広島県,1987,76.54275999536299
598,山口県,1987,83.66750385380062
599,徳島県,1987,79.66448223032319
600,香川県,1987,77.59844441907408
601,愛媛県,1987,80.49759031877407
602,高知県,1987,82.05929474022486
603,福岡県,1987,80.38972360216525
604,佐賀県,1987,81.96094265897801
605,長崎県,1987,83.01101362800573
606,熊本県,1987,82.74384066199923
607,大分県,1987,78.80248840607281
608,宮崎県,1987,78.83894807499318
609,鹿児島県,1987,82.80292947084641
610,沖縄県,1987,83.7163721463268
611,北海道,1988,85.72478882820332
612,青森県,1988,86.14663285597621
613,岩手県,1988,83.91470483602173
614,宮城県,1988,83.8978687988423
615,秋田県,1988,85.53269105896398
616,山形県,1988,85.61073019703757
617,福島県,1988,85.04993266208427
618,茨城県,1988,81.69139534138391
619,栃木県,1988,82.5804214766658
620,群馬県,1988,86.97191616571781
621,埼玉県,1988,83.84474790220476
622,千葉県,1988,82.12008026537227
623,東京都,1988,93.06217313684574
624,神奈川県,1988,78.53800444563906
625,新潟県,1988,86.83857750589142
626,富山県,1988,82.28940345643335
627,石川県,1988,83.9295674978146
628,福井県,1988,85.41583838073645
629,山梨県,1988,84.84184512919292
630,長野県,1988,82.9742880069776
631,岐阜県,1988,85.58414408533764
632,静岡県,1988,82.64562701188277
633,愛知県,1988,86.82397921509056
634,三重県,1988,84.23209411871974
635,滋賀県,1988,82.33448422314939
636,京都府,1988,87.35021462420707
637,大阪府,1988,81.7529704057138
638,兵庫県,1988,85.76465062379535
639,奈良県,1988,81.61412234737605
640,和歌山県,1988,86.34775112491424
641,鳥取県,1988,87.00969828159606
642,島根県,1988,88.3250035997565
643,岡山県,1988,90.42346165601833
644,広島県,1988,83.16707353252568
645,山口県,1988,88.82103167095212
646,徳島県,1988,86.03139249982233
647,香川県,1988,83.19576660456327
648,愛媛県,1988,85.61040214831873
649,高知県,1988,85.64512761810039
650,福岡県,1988,85.76590847132982
651,佐賀県,1988,86.154159989569
652,長崎県,1988,85.45782447396233
653,熊本県,1988,87.64168699207062
654,大分県,1988,84.81710926429007
655,宮崎県,1988,81.87316820299469
656,鹿児島県,1988,86.37034658449146
657,沖縄県,1988,87.06132287453528
658,北海道,1989,90.77937101328779
659,青森県,1989,92.75216892928688
660,岩手県,1989,91.43503705027025
661,宮城県,1989,90.71114930266332
662,秋田県,1989,90.36579414848573
663,山形県,1989,90.15545450126561
664,福島県,1989,92.52105116151527
665,茨城県,1989,86.71259991533506
666,栃木県,1989,89.91147398114808
667,群馬県,1989,90.97891023339291
668,埼玉県,1989,90.29022408587201
669,千葉県,1989,89.12706670328588
670,東京都,1989,102.05383474244924
671,神奈川県,1989,84.78712901099287
672,新潟県,1989,91.48855137972461
673,富山県,1989,87.21758282737643
674,石川県,1989,89.44859215800545
675,福井県,1989,89.51729323926747
676,山梨県,1989,92.69703603119704
677,長野県,1989,88.13119107475448
678,岐阜県,1989,90.70034937777692
679,静岡県,1989,88.56187126437835
680,愛知県,1989,93.49532800260084
681,三重県,1989,90.9607405117987
682,滋賀県,1989,89.5798535988208
683,京都府,1989,90.76988170456934
684,大阪府,1989,84.86636346614385
685,兵庫県,1989,91.4622463551131
686,奈良県,1989,88.39447559699329
687,和歌山県,1989,89.52433966171117
688,鳥取県,1989,91.72926969694069
689,島根県,1989,93.07706235158429
690,岡山県,1989,95.01621855380581
691,広島県,1989,89.71912634035102
692,山口県,1989,92.20481593255772
693,徳島県,1989,92.91883333708516
694,香川県,1989,91.21521258067573
695,愛媛県,1989,91.76932078349178
696,高知県,1989,89.83230552343242
697,福岡県,1989,90.99008491545916
698,佐賀県,1989,91.1375250785479
699,長崎県,1989,93.9837952485436
700,熊本県,1989,93.38798645192506
701,大分県,1989,92.9478622838584
702,宮崎県,1989,86.80411651724297
703,鹿児島県,1989,91.04116113866101
704,沖縄県,1989,94.11231684794623
705,北海道,1990,100.0
706,青森県,1990,100.0
707,岩手県,1990,100.0
708,宮城県,1990,100.0
709,秋田県,1990,100.0
710,山形県,1990,100.0
711,福島県,1990,100.0
712,茨城県,1990,100.0
713,栃木県,1990,100.0
714,群馬県,1990,100.0
715,埼玉県,1990,100.0
716,千葉県,1990,100.0
717,東京都,1990,100.0
718,神奈川県,1990,100.0
719,新潟県,1990,100.0
720,富山県,1990,100.0
721,石川県,1990,100.0
722,福井県,1990,100.0
723,山梨県,1990,100.0
724,長野県,1990,100.0
725,岐阜県,1990,100.0
726,静岡県,1990,100.0
727,愛知県,1990,100.0
728,三重県,1990,100.0
729,滋賀県,1990,100.0
730,京都府,1990,100.0
731,大阪府,1990,100.0
732,兵庫県,1990,100.0
733,奈良県,1990,100.0
734,和歌山県,1990,100.0
735,鳥取県,1990,100.0
736,島根県,1990,100.0
737,岡山県,1990,100.0
738,広島県,1990,100.0
739,山口県,1990,100.0
740,徳島県,1990,100.0
741,香川県,1990,100.0
742,愛媛県,1990,100.0
743,高知県,1990,100.0
744,福岡県,1990,100.0
745,佐賀県,1990,100.0
746,長崎県,1990,100.0
747,熊本県,1990,100.0
748,大分県,1990,100.0
749,宮崎県,1990,100.0
750,鹿児島県,1990,100.0
751,沖縄県,1990,100.0
752,北海道,1991,106.53965513087837
753,青森県,1991,104.4819394096662
754,岩手県,1991,105.38638286085849
755,宮城県,1991,106.76853764555668
756,秋田県,1991,104.28102970611779
757,山形県,1991,104.31168123574889
758,福島県,1991,108.0910503424798
759,茨城県,1991,103.17689131055847
760,栃木県,1991,104.37391652759997
761,群馬県,1991,106.55808426253132
762,埼玉県,1991,106.40926190189842
763,千葉県,1991,106.58788706434486
764,東京都,1991,102.93674716967294
765,神奈川県,1991,103.71386916810307
766,新潟県,1991,107.26288828867901
767,富山県,1991,104.41880411602243
768,石川県,1991,104.37957741478144
769,福井県,1991,105.85408503766016
770,山梨県,1991,104.26637382639656
771,長野県,1991,103.11959233893589
772,岐阜県,1991,105.28691342674125
773,静岡県,1991,105.08702909687895
774,愛知県,1991,106.23426935078628
775,三重県,1991,107.07911767722851
776,滋賀県,1991,108.90622829590026
777,京都府,1991,106.91994429676004
778,大阪府,1991,105.00040038064292
779,兵庫県,1991,105.37622842984746
780,奈良県,1991,102.66390092495025
781,和歌山県,1991,106.45560774472216
782,鳥取県,1991,105.03692328321898
783,島根県,1991,106.14353690451352
784,岡山県,1991,108.24844349340492
785,広島県,1991,104.58549378071102
786,山口県,1991,106.25509833782559
787,徳島県,1991,104.5939371629164
788,香川県,1991,106.37605391579363
789,愛媛県,1991,103.52948461413787
790,高知県,1991,105.96634851082894
791,福岡県,1991,104.90167199409237
792,佐賀県,1991,105.35206706119375
793,長崎県,1991,104.18527794880588
794,熊本県,1991,104.64280283206114
795,大分県,1991,106.10223032693827
796,宮崎県,1991,104.08737464028657
797,鹿児島県,1991,104.05629937646768
798,沖縄県,1991,105.27185995993446
799,北海道,1992,109.48443745806277
800,青森県,1992,108.61348615458503
801,岩手県,1992,108.3083680119195
802,宮城県,1992,109.53743433196375
803,秋田県,1992,105.29209555785482
804,山形県,1992,105.80149816539688
805,福島県,1992,110.30426117450884
806,茨城県,1992,103.5691695384778
807,栃木県,1992,103.20992484327172
808,群馬県,1992,105.47245119069733
809,埼玉県,1992,109.88077380926731
810,千葉県,1992,108.48504993774188
811,東京都,1992,104.005484208986
812,神奈川県,1992,103.07666958155525
813,新潟県,1992,109.36678905192036
814,富山県,1992,104.82949738378528
815,石川県,1992,103.76675783746458
816,福井県,1992,109.57715603398877
817,山梨県,1992,103.79615325076594
818,長野県,1992,104.93414213904364
819,岐阜県,1992,107.3499183374544
820,静岡県,1992,105.07698857416308
821,愛知県,1992,106.07213310887067
822,三重県,1992,108.27916755779006
823,滋賀県,1992,108.6542783621056
824,京都府,1992,106.51179525518475
825,大阪府,1992,105.45073722532354
826,兵庫県,1992,106.87295351776041
827,奈良県,1992,103.11966357633912
828,和歌山県,1992,107.68367187528747
829,鳥取県,1992,106.20831564059424
830,島根県,1992,108.07695067597012
831,岡山県,1992,110.18641456353953
832,広島県,1992,106.3041661899074
833,山口県,1992,110.57779094256055
834,徳島県,1992,106.55600150602076
835,香川県,1992,109.21482514289048
836,愛媛県,1992,106.22595390984763
837,高知県,1992,109.17888583686559
838,福岡県,1992,108.19275396494284
839,佐賀県,1992,111.36734341943111
840,長崎県,1992,110.40924262491467
841,熊本県,1992,107.08236479080469
