,都道府県,variable,value
338,群馬県,1982,205.25292225134467
339,埼玉県,1982,195.30174914815686
340,千葉県,1982,193.62739997329268
341,東京都,1982,183.37574723182567
342,神奈川県,1982,192.71219508221427
343,新潟県,1982,174.33267939388023
344,富山県,1982,175.52111296037796
345,石川県,1982,178.86043497942265
346,福井県,1982,192.08879929704864
347,山梨県,1982,190.34959238962358
348,長野県,1982,178.9052011170184
349,岐阜県,1982,184.3152287562841
350,静岡県,1982,184.49787476483053
351,愛知県,1982,188.65563703378456
352,三重県,1982,173.56141556631485
353,滋賀県,1982,205.16990867941539
354,京都府,1982,184.31324438357345
355,大阪府,1982,171.40672421746794
356,兵庫県,1982,174.81451928686838
357,奈良県,1982,189.1994743779814
358,和歌山県,1982,166.66963696419484
359,鳥取県,1982,176.48597480816824
360,島根県,1982,179.31897820264447
361,岡山県,1982,169.58418769555024
362,広島県,1982,165.20931838361892
363,山口県,1982,160.07677395049632
364,徳島県,1982,172.31962065272796
365,香川県,1982,170.808447004856
366,愛媛県,1982,172.19472421655905
367,高知県,1982,172.61419809727306
368,福岡県,1982,179.90981161050098
369,佐賀県,1982,181.2593329734445
370,長崎県,1982,171.60099560788063
371,熊本県,1982,183.8332748026049
372,大分県,1982,185.3524556443079
373,宮崎県,1982,183.23757119169838
374,鹿児島県,1982,188.6933417616458
375,沖縄県,1982,188.20813389339324
376,北海道,1983,185.18172031886283
377,青森県,1983,180.2369514103928
378,岩手県,1983,174.41336924917098
379,宮城県,1983,192.58486460829675
380,秋田県,1983,172.65181769587377
381,山形県,1983,176.97481627368384
382,福島県,1983,193.40206970190115
383,茨城県,1983,207.56280653285611
384,栃木県,1983,203.3804814151635
385,群馬県,1983,217.16641615840402
386,埼玉県,1983,206.52277003154072
387,千葉県,1983,203.0807497472343
388,東京都,1983,195.19208136945105
389,神奈川県,1983,204.58044511319846
390,新潟県,1983,182.02039250556334
391,富山県,1983,185.2226726081821
392,石川県,1983,186.28869532800977
393,福井県,1983,198.53848141830775
394,山梨県,1983,208.52332471516758
395,長野県,1983,195.3154368723484
396,岐阜県,1983,194.1914310222988
397,静岡県,1983,196.81551738193252
398,愛知県,1983,197.0408870987087
399,三重県,1983,182.79285228856543
400,滋賀県,1983,217.49445618866017
401,京都府,1983,191.66731465514707
402,大阪府,1983,176.44698079846893
403,兵庫県,1983,184.49140567149155
404,奈良県,1983,201.54511914338818
405,和歌山県,1983,155.93140727159042
406,鳥取県,1983,183.7686116911325
407,島根県,1983,182.7205142863192
408,岡山県,1983,179.5975443383356
409,広島県,1983,171.21632956984828
410,山口県,1983,175.86150010202118
411,徳島県,1983,183.06896245341164
412,香川県,1983,174.63708412588517
413,愛媛県,1983,177.08807116539015
414,高知県,1983,175.28769422647804
415,福岡県,1983,181.45988971710221
416,佐賀県,1983,186.47452809668764
417,長崎県,1983,177.64346731719652
418,熊本県,1983,193.27312181756557
